Marker_Operation,Memo_Operation,Bookmark_Operation,Marker_Num,Memo_Num,Bookmark_Num,Prev_Next_Operation,Jump_Operation,Error_Num,Used_time,Code_Length,Execute_Times,Code_Copy,Code_Paste,Notebook_Open,memory,cognitive,compensation,metacognitive,affective,social,intrinsic,extrinsic,task_value,control_beliefs,self_efficacy,test_anxiety,rehearsal,elaboration,organization,critical_thinking,metacognitive_self_regulation,time_and_study_environment,effort_regulation,peer_learning,help_seeking,Pass
36,19,2,36,19,0,1868,11,36,570,952,267,37,62,28,17,24,9,25,13,13,9,11,19,18,17,16,8,15,10,14,34,21,14,12,13,1
561,70,35,451,48,17,4877,190,98,3777,2759,1241,225,313,82,19,28,17,28,18,13,15,14,26,16,27,17,17,19,16,17,40,27,14,3,15,0
140,12,0,124,10,0,3415,63,2,123,1678,42,4,7,2,23,37,17,27,16,17,12,16,24,14,24,19,16,23,17,15,47,34,16,10,16,0
12,10,0,12,10,0,4312,44,146,5391,2526,1762,236,347,235,31,50,24,36,23,24,17,16,30,16,29,18,20,24,16,20,46,28,12,6,19,1
115,14,2,111,12,0,3472,37,194,3341,1595,1101,127,303,81,30,52,20,31,19,22,16,18,25,15,38,11,16,23,14,18,47,32,16,13,17,1
253,31,0,241,31,0,3109,76,94,2004,5643,1161,188,270,106,21,47,19,26,18,16,16,11,24,17,31,11,14,24,13,18,39,29,15,10,12,0
42,10,2,24,10,0,4758,43,96,2761,2066,1065,206,271,109,31,45,20,27,18,18,16,9,22,15,23,16,18,26,11,21,38,28,11,4,9,1
181,30,0,151,28,0,5486,41,48,2311,1878,1040,203,231,70,23,40,18,30,20,17,16,16,26,18,31,16,16,28,16,22,41,29,12,11,17,1
53,14,2,53,12,0,4340,248,120,4786,8824,1559,249,451,55,24,36,19,26,19,14,19,16,27,15,35,11,16,26,16,18,48,33,12,10,15,0
359,35,14,261,29,0,4609,54,234,6832,2041,2590,601,754,133,24,48,18,41,25,20,13,19,30,15,30,13,16,25,16,19,37,32,13,8,14,0
